unicode_cp,unicode,kEH_AltSeq,kEH_Cat,kEH_Core,kEH_Desc,kEH_FVal,kEH_Func,kEH_HG,kEH_IFAO,kEH_JSesh,kEH_NoMirror,kEH_NoRotate,kEH_UniK
13630,U+13630,,A-23-041,C,"Child, seated on nothing, forelegs spread, right arm extended forward, hand horizontal, palm upwards, holding a hill with a halo of sun rays behind it (N28), left arm hanging beside the body.",ḫꜥ,Phonemogram,A446,,A446,,,HJ A446
13631,U+13631,,A-23-043,,,,,A491,,A491,,,HJ A491
13632,U+13632,,A-23-044,C,"A god, with a long-curved beard, seated on nothing, forelegs spread, right arm extended forwards, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (wAs, S40) of the height of the seated god, left arm hanging beside the body.",sꜣḥ,Classifier Orion,,,,,,A491A
13633,U+13633,,A-23-046,C,"Child, seated on a stool, forelegs separated, right hand raised in front with hand to mouth, left arm hanging beside the body.",ḥkꜣ,Classifier child divinity,,,,,,A276A
13634,U+13634,,A-23-051,C,"A child, seated on a mat, wearing a coif with uraeus, covered in cloth, legs bent in front, feet at the same level as the mat, right arm raised in front with hand to mouth, left arm in front, hand upon the knee.",sfy,Classifier child,A278A,,A278A,,,HJ A278A
13635,U+13635,,A-23-052,,,,,A278B,,A278B,,,HJ A278B
13636,U+13636,,A-23-054,C,"Child, seated on nothing, one leg visible, right arm raised in front with hand to mouth, left arm hanging beside the body.",sꜣ,Logogram (son/child of),A17B,"35,15",A17B,,,HJ A017B
13637,U+13637,,A-23-055,C,"Child, seated, both knees raised, feet horizontal, heels touching ties, right arm raised in front with hand to mouth, left arm hanging beside the body; on top of a lotus flower, facing upwards, with a short stalk, and a bud at either side (M224A).",ḫꜥ.w,"Logogram (crowns, appearances)",A279,"35,16",A279,,,HJ A279
13638,U+13638,,A-23-057,C,"Child, naked, standing, right arm raised in front with hand to mouth, left arm hanging beside the body.",sꜣ,Logogram (son/child of),A281,"36,2",A281,,,HJ A281
13639,U+13639,,A-23-058,C,"Child, naked, standing, right arm raised in front with hand to mouth, with a curved line running from the right wrist/elbow the left foot, left arm hanging beside the body.",sf(y),Classifier child,,,,,,A281A
1363A,U+1363A,,A-23-064,,,,,A441,,A441,,,HJ A441
1363B,U+1363B,,A-23-065,C,"Child seated on nothing, one leg visible, both arms raised in front, hands at the height of the face, hand palms outwards.",ḫn,Phonemogram,,,,,,A531
1363C,U+1363C,,A-23-069,C,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body, under a curved dotted line.",nš,"Classifier expelling, spitting",,,,,,A017I
1363D,U+1363D,,A-24-003,C,"A dwarf, naked, standing, arms hanging at either side of the body.",dng,"Logogram (dwarf, pigmy)",A282,,A282,,,HJ A282
1363E,U+1363E,,A-25-001,C,"A man, with short straight beard, seated on a chair, both arms extended forwards, forearms horizontal, one arm above the other, hands above the knee.",,Classifier revered person,A50B,,A50B,,,HJ A050B
1363F,U+1363F,,A-25-002,C,"A man, with short straight beard, seated on a chair, right arm in front of the chest, left arm extended forwards, hand above the knee.",,Classifier revered person,,,,,,A050H
13640,U+13640,,A-25-003,C,"A man, with short straight beard, seated on a block throne, both arms extended forwards, forearms horizontal, one arm above the other, hands above the knee.",ꞽt,Classifier revered person,A50C,,A50C,,,HJ A050C
13641,U+13641,,A-25-011,C,"God, with long-curved beard and long wig, seated on a block throne, both arms extended forwards, forearms horizontal, one above another, holding a flagellum (S45).",šps,Logogram (to be noble),A51A,"37,1",A51A,,,HJ A051A
13642,U+13642,,A-25-012,C,"God, with long-curved beard and long wig, seated on a block throne, on top of a base, both arms extended forwards, forearms horizontal, one above another, holding a flagellum (S45); with a spear, with a straight shaft, topped with the head of a falcon, with a triangular spearhead above the head of the falcon, in front of the throne, on the base.",mdw-šps,Logogram (the noble speech),,,,,,A051Q
13643,U+13643,,A-25-015,C,"Man, with short straight beard, seated on a block throne, without visible arms, with a flagellum (S45) and crook, opening inwards (S38) on his knee.",,Classifier revered person,A51B,"37,5",A51B,,,HJ A051B
13644,U+13644,,A-25-018,C,"Man, with short straight beard, seated on a chair, both arms extended forwards, forearms horizontal, one above the other, holding a flagellum (S45) and crook, opening inwards (S38).",šps.w,Logogram/phonemogram (costly offerings),A51C,"37,8",A51C,,,HJ A051C
13645,U+13645,,A-25-019,C,"God, with long-curved beard and long wig, seated on a block throne, both arms extended forwards, forearms horizontal, one above another, holding a sceptre with a straight shaft, topped with the head of the Seth animal.",šps,"Logogram (noble, splendid)",A51D,"37,9",A51D,,,HJ A051D
13646,U+13646,,A-25-021,C,"God, with a long-curved beard and long wig, seated on a block throne, both arms extended forwards, forearms horizontal, one above the other, top hand holding a tie or strap, used with sandals (ankh sign, S34) in one hand, horizontally, with the bottom hand opened with the palm facing upwards.",špsꞽ,Logogram (to be noble),,,,,,A051H
13647,U+13647,,A-25-022,C,"God, with a long-curved beard and long wig, seated on a block throne, on top of a base, right arm extended forwards, hand at the height of the waist, extended beyond the knee, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40), and a tie or strap, used with sandals (ankh sign, S34), at the loop, horizontally; left arm forward, hand above the lap, holding a tie or strap, used with sandals (ankh sign, S34), at the loop, horizontally.",ꞽtmw,Classifier divinity,,,,,,A051R
13648,U+13648,,A-25-024,C,"Man, seated on a chair, right arm extended forwards, holding a staff at an angle, left arm in front of the body, with the hand on the lap.",ḥmsꞽ,"Classifier to abide, to occupy",A285,"37,11",A285,,,HJ A285
13649,U+13649,,A-25-033,,,,,A63A,"38,1",A63A,,,HJ A063A
1364A,U+1364A,,A-25-034,C,"God, with long-curved beard and uraeus on the forehead, seated on a block throne on a base, no arms visible, with a flagellum (S45) on top of its knee.",špsꞽ,Logogram (to be noble),,,,,,A063C
1364B,U+1364B,,A-25-035,C,"God, with long-curved beard and uraeus on the forehead, seated on a block throne, both arms in front of the chest, right hand holding a crook (S38), opening inward, angled over the right shoulder, left hand holding a flagellum (S45), angled over the left shoulder.",,,A63B,,A63B,,,HJ A063B
1364C,U+1364C,,A-25-036,C,"Man, without beard, short hair/wig, seated on a block throne, no arms visible.",sꜥḥ,Classifier noble,A50A,"38,2",A50A,,,HJ A050A
1364D,U+1364D,,A-25-037,C,"God, with long-curved beard, seated on a chair, with a two-feather headdress mounted on the horns of a ram on its head, both arms extended forwards, forearms horizontal, one above the other, holding a flagellum (S45) and crook, opening inwards (S38). ",šps.w,Logogram/phonemogram (costly offerings),A288,"38,3",A288,,,HJ A288
1364E,U+1364E,,A-25-041,C,"Man, with a short straight beard, seated on nothing, both arms extended forward, forearms horizontal, one above another, holding a flagellum (S45).",špsꞽ,Logogram (to be noble),A51G,,A51G,,,HJ A051G
1364F,U+1364F,,A-25-044,,,,,A50G,,A50G,,,HJ A050G
13650,U+13650,,A-25-045,C,"Man, with short straight beard, seated on a chair, no arms visible, with a tie or strap, used with sandals (ankh sign, S34), which angles forward, on the knee.",,Classifier revered person,,,,,,A050I
13651,U+13651,,A-25-046,C,"Child, naked, wearing the hmhm crown (S61), seated upon a block throne on a base, right arm raised in front with hand to mouth, left arm in front, forearm horizontal, holding a tie or strap, used with sandals (ankh sign, S34), which angles forward.",ḥr-smꜣ-tꜣ.wy,Logogram (Harsomtus),,,,,,A532
13652,U+13652,,A-26-006,C,"God, seated, both knees up, with covered legs and arms, with long wig, without a beard.",,Classifier divinity,,,,,,A515
13653,U+13653,,A-26-009,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing a coif with uraeus.",,,,,,,,A041B
13654,U+13654,,A-26-015,C,"God, seated, both knees up, with covered legs and arms, with a long wig, without a beard, holding a sceptre with a straight shaft, topped with the head of the Seth animal.",mr.ty,Classifier divinity,,,,,,A515A
13655,U+13655,,A-26-016,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a holding a flagellum (S45).",,Classifier divinity,,"39,2",A40B,,,A040B
13656,U+13656,,A-26-017,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard and long wig, holding a flagellum (S45).",n(y)-sw.t,Classifier king,A40B,"39,3",,,,A040S
13657,U+13657,,A-26-021,C,"God/king, seated, both knees up, with covered legs and arms, with a long wig, without a beard, holding a crook (S38) with the opening outwards.",n(y)-sw.t,Classifier king,,"39,7",,,,A040P
13658,U+13658,,A-26-022,,,,,A40C,"39,8",A40C,,,HJ A040C
13659,U+13659,,A-26-025,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a crook (S38) with the opening inwards.",ꞽ,Logogram (first person singular),A42A,"39,11",A42A,,,A042F
1365A,U+1365A,,A-26-026,,,,,A40D,"39,13",A40D,,,HJ A040D
1365B,U+1365B,,A-26-035,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a tie or strap, used with sandals (ankh sign, S34), which angles forward.",ꞽtmw,Classifier divinity,,"40,3",A40E,,,A040E
1365C,U+1365C,,A-26-037,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a tie or strap, used with sandals (ankh sign, S34), which angles forward.",ꞽ,Logogram (first person singular),A42C,,A42C,,,HJ A042C
1365D,U+1365D,,A-26-038,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a knife (T30A), angled slightly forward.",ꞽ,Logogram (first person singular),A290,"40,5",A290,,,HJ A290
1365E,U+1365E,,A-26-039,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a sceptre (S42) vertically.",sḫm,Logogram (powerful one),A291,"40,6",A291,,,HJ A291
1365F,U+1365F,,A-26-040,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a club used by washermen for beating laundry (U36) vertically.",ḥm,Logogram (majesty),A292,"40,7",A292,,,HJ A292
13660,U+13660,,A-26-046,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a sedge (M23), with the tip curving outwards.",n.y-sw.t,Logogram (king),,,,,,A040G
13661,U+13661,,A-26-052,C,"Man, seated, both knees up, with covered legs and arms, with long, curved beard, short hair/wig, holding a dung beetle (scarab, L1).",ḫprꞽ,Logogram (Khepri),,,,,,A533
13662,U+13662,,A-27-001,C,"Man, standing, right arm forward, holding a crook (S38) at the same size as the man vertically, left arm hanging beside the body.",ḥḳꜣ,Logogram (to rule),A296E,"40,13",A296E,,,HJ A296E
13663,U+13663,,A-27-002,C,"Man, standing, right arm forward, holding a crook (S38) at the same size as the man vertically, left arm hanging beside the body, standard used for carrying religious symbols, with a loop under the horizontal beam, running over the vertical pole (R12A).",ḥḳꜣ-ꜥnḏ.ty,Logogram (ruler of the 9th nome of Lower Egypt),,,,,,A021G
13664,U+13664,,A-27-003,C,"Man, standing, right arm forward, holding a crook (S38) at the same size as the man vertically, left arm hanging beside the body, holding a flagellum (S45) horizontally.",ḥḳꜣ,Logogram (ruler),A296,"40,14",A296,,,HJ A296
13665,U+13665,,A-27-006,C,"King, standing, with a long wig or headcloth, with uraeus, right arm in front of the body, holding a stick angled against the right shoulder, left arm hanging beside the body.",ẖn.ty,Classifier statue,A23C,"40,15",A23C,,,HJ A023C
13666,U+13666,,A-27-008,C,"Man, standing, right arm forward, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (wAs, S40); left arm hanging beside the body.",ꞽt.y,Logogram (sovereign),A296B,"41,2",A296B,,,HJ A296B
13667,U+13667,,A-27-010,C,"God, standing, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) upon his head, with long-curved beard and long wig, right arm forward, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (wAs, S40); left arm hanging beside the body.",šps,"Logogram (noble, splendid)",C261,,C261,,,HJ C261
13668,U+13668,,A-27-015,C,"The king, standing, with a long wig and uraeus, right arm forward, holding a stick/staff which is angled towards the body, left arm hanging beside the body, holding a piece of cloth.",ꞽt.y,Classifier sovereign,A23A,"41,6",A23A,,,HJ A023A
13669,U+13669,,A-27-018,C,"Man, standing, right arm forward, holding a staff/stick; left arm hanging beside the body, holding a flagellum (S45) horizontally.",ꞽt.y,Logogram (sovereign),A508,,A508,,,HJ A508
1366A,U+1366A,,A-27-020,,,,,A23E,"41,8",A23E,,,HJ A023E
1366B,U+1366B,,A-27-025,,,,,A23H,,A23h,,,HJ A023H
1366C,U+1366C,,A-27-026,C,"Man, standing, wearing a long sash-kilt, right arm forward, hand below the waist, holding a one handed fan (S37), with the curve outward, left arm hanging beside the body.",,Classifier personal name,A455,,A455,,,HJ A455
1366D,U+1366D,,A-27-029,C,"A statue of the king, standing, with a long straight beard, uraeus and coif, with the left arm vertically over the body.",ꞽrw,Classifier statue,A298,,A298,,,HJ A298
1366E,U+1366E,,A-27-031,C,"Man, standing, with uraeus on the forehead, both arms raised in front, hands held vertically, hand palms outwards.",smnḥ,"Classifier praying, worshipping",,,,,,A030A
1366F,U+1366F,,A-28-003,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1).",n.y-sw.t,Classifier king,,,,,,A043N
13670,U+13670,,A-28-004,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the white crown (S1).",kꜣ-ḥtp,Classifier divinity,,"41,12",,,,A043X
13671,U+13671,,A-28-006,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A), holding a tie or strap, used with sandals (ankh sign, S34) vertically.",n.y-sw.t,Classifier king,A43A,"42,2",A43A,,,A043U
13672,U+13672,,A-28-009,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the white crown (S1), holding a flagellum (S45).",ḫnt.y-ꞽmn.tyw,Classifier divinity,,"42,5",,,,A043Q
13673,U+13673,,A-28-011,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A), holding a flagellum (S45).",n.y-sw.t,Classifier king,A43B,,A43B,,,HJ A043B
13674,U+13674,,A-28-012,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1), holding a crook (S38) vertically, with the opening inwards.",n.y-sw.t,Classifier king,,"42,8",,,,A043R
13675,U+13675,,A-28-013,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the white crown with uraeus (S1A), holding a crook vertically, with the opening inwards.",nṯr,Classifier divinity,A43C,"42,10",A43C,,,HJ A043C
13676,U+13676,,A-28-014,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A), holding a crook (S38) vertically, with the opening outwards.",n.y-sw.t,Logogram (king of Upper Egypt),A43J,"42,12",A43J,,,HJ A043J
13677,U+13677,,A-28-015,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1), holding a crook (S38) vertically, with the opening outwards.",n.y-sw.t,Classifier king,,,,,,A043S
13678,U+13678,,A-28-018,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",n.y-sw.t,Classifier king,A43D,"42,15",A43D,,,HJ A043D
13679,U+13679,,A-28-020,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the white crown (S1), holding a flagellum (S45) and crook (S38), with the opening inwards.",ḫnt.y-ꞽmn.tyw,Classifier divinity,A43L,"43,2",A43L,,,HJ A043L
1367A,U+1367A,,A-28-021,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the white crown with uraeus (S1A), holding a flagellum (S45) and crook (S38), with the opening inwards.",n.y-sw.t,Logogram (king of Upper Egypt),A43E,"43,3",A43E,,,HJ A043E
1367B,U+1367B,,A-28-024,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A), holding a flagellum (S45) and mace (T3).",n.y-sw.t,Logogram (king of Upper Egypt),A43I,,A43I,,,HJ A043I
1367C,U+1367C,,A-28-025,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A), holding a sedge (M23), with the tip curving outwards.",n.y-sw.t,Logogram (king of Upper Egypt),A43F,"43,7",A43F,,,HJ A043F
1367D,U+1367D,,A-28-026,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A), holding a club used by washermen for beating laundry (U36) vertically.",ḥm,Logogram (majesty),A43G,"43,8",A43G,,,HJ A043G
1367E,U+1367E,,A-28-029,C,"God, seated, both knees up, with covered legs and arms, wearing the white crown (S1), holding a column with a base, with a tenon at the top (O28B).",ꞽwn.y,Logogram (he of Heliopolis),,,,,,A043P
1367F,U+1367F,,A-28-030,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1), holding the white crown (S1).",ḥḏ.t,Logogram (the white crown),,,,,,A043T
13680,U+13680,,A-28-031,C,"God, seated, both knees up, foot flat on the ground, heels touching the thighs, with a long-curved beard, wearing the white crown (S1), both arms forward, holding a flagellum (S45).",wsꞽr,Classifier divinity,A274A,,A274A,,,HJ A274A
13681,U+13681,,A-28-033,C,"God, seated on a block throne, with a long-curved beard, wearing the white crown (S1), no arms visible.",wsꞽr,Classifier Osiris,,,,,,A299G
13682,U+13682,,A-28-036,C,"King, seated on a block-throne, with a long straight beard, wearing the white crown (S1), no arms visible, with a flagellum on his knee.",n.y-sw.t,Classifier king,,"43,13",,,,A299I
13683,U+13683,,A-28-037,C,"God, seated on a block-throne, with a long-curved beard, wearing the white crown (S1), no arms visible, with a flagellum (S430 and a crook (S38), opening upwards, on his knee.",,,,,,,,A299H
13684,U+13684,,A-28-042,C,"King, standing, with a long straight beard, wearing the white crown with uraeus (S1A), right arm forward, holding a crook (S38) of the size of the king vertically, opening outwards, left arm hanging beside the body, holding a flagellum (S45) horizontally.",n.y-sw.t,Logogram (king of Upper Egypt),A300,"43,16",A300,,,HJ A300
13685,U+13685,,A-28-043,C,"King, standing, with a long straight beard, wearing the white crown with uraeus (S1A), right arm forward, holding a crook (S38) of the size of the king vertically, opening outwards, and a flagellum (S45) in front of the crook, left arm hanging beside the body, holding a flagellum (S45) horizontally.",n.y-sw.t,Logogram (king of Upper Egypt),,,,,,A300K
13686,U+13686,,A-28-054,C,"King, standing, with a long straight beard, wearing the white crown (S1), right arm forward, holding a stem of papyrus with a flowering bud (M127), of the height of the king, left arm hanging beside the body, holding a flagellum (S45) horizontally.",n(.y)-sw.t & tꜣ,"Logogram (king of Upper Egypt and land, when occurring together with king of Lower Egypt forms n(.y)-sw.t-bꞽ.ty nb tꜣ.wy)",,,,,,A300H
13687,U+13687,,A-28-055,C,"King, standing, with a long straight beard, wearing the white crown (S1), right arm forward, holding a stem of papyrus with a flowering bud (M127), of the height of the king, left arm hanging beside the body.",n(.y)-sw.t & tꜣ,Logogram (king of Upper Egypt and land when occurring together with red crown wearing variant forms n(.y)-sw.t-bꞽ.ty nb tꜣ.wy),,,,,,A300I
13688,U+13688,,A-28-056,C,"King, standing, with a long straight beard, wearing the white crown (S1), right arm forward, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (wAs, S40) of the height of the king, left arm hanging beside the body, holding a flagellum (S45) horizontally.",n(.y)-sw.t,Logogram (king of Upper Egypt),,,,,,A300J
13689,U+13689,,A-28-057,C,"God, in mummy form, standing upright on a platform, with a long-curved beard, wearing the white crown (S1), both arms forward, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically, with a tie or strap, used with sandals (ankh sign, S34), on the middle of the headpiece of the staff, angled forwards.",wsꞽr,Logogram (Osiris),,,,,,A521
1368A,U+1368A,,A-29-002,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3).",bꞽ.ty,Logogram (king of Lower Egypt),,"44,5",,,,A045X
1368B,U+1368B,,A-29-003,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a flagellum (S45).",bꞽ.ty,Logogram (king of Lower Egypt),A45A,"44,8",A45A,,,A045F
1368C,U+1368C,,A-29-008,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a flagellum (S45) and a crook (S38) with the opening inwards.",bꞽ.ty,Logogram (king of Lower Egypt),A45C,"44,10",A45C,,,HJ A045C
1368D,U+1368D,,A-29-012,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a crook (S38) vertically, with the opening inwards.",bꞽ.ty,Logogram (king of Lower Egypt),A45D,"44,14",A45D,,,HJ A045D
1368E,U+1368E,,A-29-013,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a crook (S38) vertically, with the opening outwards.",bꞽ.ty,Logogram (king of Lower Egypt),,,,,,A045G
1368F,U+1368F,,A-29-014,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a tie or strap, used with sandals (ankh sign, S34) vertically.",n(y)-sw.t,Classifier king,A45E,,A45E,,,HJ A045E
13690,U+13690,,A-29-017,C,"King, standing, with a long straight beard, wearing the red crown (S3), right arm forward, right hand at the height of the shoulder, holding a sceptre (S42), left arm forward, left hand at the height of the waist, holding a stick/staff which runs from the right toe to the left hand, and a mace (T3), angled forward.",bꞽ.ty,Logogram (king of Lower Egypt),A302B,"45,1",A302B,,,HJ A302B
13691,U+13691,,A-29-018,C,"King, seated on a block-throne, with a long straight beard, wearing the red crown (S3), no arms visible.",ꞽt.y,Classifier sovereign,A301,"45,2",A301,,,HJ A301
13692,U+13692,,A-29-019,C,"King, seated on a block-throne, with a long straight beard, wearing the red crown (S3), both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",n.y-sw.t,Classifier king,A301A,"45,3",A301A,,,HJ A301A
13693,U+13693,,A-29-022,C,"King, standing, with a long straight beard, wearing the red crown (S3), right arm forward, holding a stem of papyrus with a bud (M131), of the height of the king, left arm hanging beside the body, holding a flagellum (S45) horizontally.",bꞽ.ty tꜣ,"Logogram (king of Lower Egypt and land, when occurring together with king of Upper Egypt forms n(.y)-sw.t-bꞽ.ty nb tꜣ.wy)",,,,,,A302H
13694,U+13694,,A-29-023,C,"King, standing, with a long straight beard, wearing the red crown (S3), right arm forward, holding a stem of papyrus with a bud (M131), of the height of the king, left arm hanging beside the body.",bꞽ.ty tꜣ,"Logogram (king of Lower Egypt and land, when occurring together with a white crown variant forms n(.y)-sw.t-bꞽ.ty nb tꜣ.wy)",,,,,,A302I
13695,U+13695,,A-29-024,C,"King, standing, with a long straight beard, wearing the red crown (S3), right arm forward, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (wAs, S40) of the height of the king, left arm hanging beside the body, holding a flagellum (S45) horizontally.",n(.y)-sw.t,Logogram (king of Upper Egypt),,,,,,A302J
13696,U+13696,,A-29-027,C,"King, running, with a long straight beard, wearing the red crown (S3), right arm extended forwards, hand at the height of the shoulder, holding a vertical hourglass-shaped shaped document holder (R88), left arm in front of the body.",pḥrr,Logogram (to run),,,,,,A303A
13697,U+13697,,A-29-030,C,"King, seated on heel, right knee raised, with a long straight beard, wearing the red crown (S3), both arms forward, holding a loaf of bread on a reed mat (R4) horizontally.",ḥtp-dꞽ-n.y-sw.t,Logogram (an offering that the king gives),A57D,,A57D,,,HJ A057D
13698,U+13698,,A-30-001,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the double crown (S5).",ṯ,Phonemogram,A304,"45,6",A304,,,HJ A304
13699,U+13699,,A-30-002,C,"God, seated, both knees up, with covered legs and arms, with a long, curved beard, wearing the double crown (S5).",ꞽtmw,Logogram (Atum),C32B,,C32B,,,HJ C032B
1369A,U+1369A,,A-30-003,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the double crown (S5), holding a tie or strap, used with sandals (ankh sign, S34), angled forwards.",ꞽ,Logogram (first person singular),A304A,"45,7",A304A,,,HJ A304A
1369B,U+1369B,,A-30-006,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the double crown (S5), holding a flagellum (S45) and a crook (S38) with the opening inwards.",n(y)-sw.t-bꞽ.ty,Logogram (king of Upper and Lower Egypt),A304C,"45,10",A304C,,,HJ A304C
1369C,U+1369C,,A-30-007,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the double crown (S5), holding a club used by washermen for beating laundry (U36) vertically.",pꜣ-nṯr-mnḫ,Classifier king/divinity,A304D,"45,11",A304D,,,HJ A304D
1369D,U+1369D,,A-30-008,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the double crown (S5), holding a crook (S38) vertically, with the opening inward.",pꜣ-nṯr-mnḫ,Classifier king/divinity,A304E,,A304E,,,HJ A304E
1369E,U+1369E,,A-30-009,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the double crown (S5), holding a flagellum (S45).",ꞽtmw,Logogram (Atum),A304F,,A304F,,,HJ A304F
1369F,U+1369F,,A-30-010,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the double crown (S5), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",ꞽtmw,Classifier divinity,A304G,,A304G,,,HJ A304G
136A0,U+136A0,,A-30-011,C,"God, seated, both knees up, with covered legs and arms, with a long, curved beard, wearing the double crown (S5), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",ꞽtmw,Logogram (Atum),C32,"60,9",C32,,,HJ C032
136A1,U+136A1,,A-30-013,C,"King, seated on a block-throne, with a long straight beard, wearing the double crown (S5), both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",ꞽt.y,Classifier sovereign,A305,"45,12",A305,,,HJ A305
136A2,U+136A2,,A-30-021,C,"King, standing, with a long straight beard, wearing the double crown (S5), right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the king, vertically, left arm hanging beside the body holding a flagellum (S45) horizontally.",n(y)-sw.t-bꞽ.ty,Logogram (king of Upper and Lower Egypt),,,,,,A310E
136A3,U+136A3,,A-30-026,,,,,A307,"45,15",A307,,,HJ A307
136A4,U+136A4,,A-30-027,C,"The king, wearing the blue crown, prostrating on a base, right knee forward, left leg nearly horizontal, arm forward, holding a vessel with a pellet of incense upon it.",,Pictogram prostrate offering a vase of myrrh,,,US1A22VARA,,,A307A
136A5,U+136A5,,A-30-038,C,"Man, standing, wearing headdress consisting of a double plume mounted on ram horns, right arm forward, holding a staff/stick that angles towards the man, left arm hanging besides the body.",ꞽt.y,Logogram (sovereign),A311,"46,4",A311,,,HJ A311
136A6,U+136A6,,A-30-042,C,"Man, standing, wearing headdress consisting of a double plume mounted on ram horns, right arm forward, holding a crook (S38) of the size of the man, vertically, left arm hanging besides the body, holding a flagellum (S45) horizontally.",ꞽt.y,Classifier sovereign,A311A,"46,7",A311A,,,HJ A311A
136A7,U+136A7,,A-30-043,C,"Man, standing, wearing headdress consisting of a double plume mounted on ram horns, right arm forward, holding a staff/stick that angles towards the man, left arm hanging besides the body, holding a flagellum (S45) horizontally.",ꞽt.y,Classifier sovereign,A311B,"46,8",A311B,,,HJ A311B
136A8,U+136A8,,A-30-044,,,,,A311D,,A311D,,,HJ A311D
136A9,U+136A9,,A-30-045,C,"Man, standing, wearing headdress consisting of a double plume mounted on ram horns, right arm forward, holding a staff/stick that angles towards the man, left arm hanging besides the body, holding a mace with a pear-shaped head (T3) horizontally, mace-head sticking out in front of the legs.",ꞽt.y,Logogram (sovereign),A311C,,A311C,,,HJ A311C
136AA,U+136AA,,A-30-046,C,"Man, standing, wearing headdress consisting of a double plume mounted on ram horns, right arm forward, holding a crook (S38) of the size of the man, vertically, left arm hanging besides the body.",ꞽt.y,Logogram (sovereign),A311E,,A311E,,,HJ A311E
136AB,U+136AB,,A-30-047,,,,,A311F,,A311F,,,HJ A311F
