gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
D44,kEH_HG,130A5,U+130A5,D044,D44,D-25-007,A forearm with the hand holding a sceptre (S42).,Classifier governing/controlling,C
D45,kEH_HG,130A6,U+130A6,D045,D45,D-26-011,"An arm, bent at the elbow, forearm nearly horizontal, holding a wand or brush.",Logogram (to make holy),C
D46,kEH_HG,130A7,U+130A7,D046,D46,D-28-001,A human hand.,Phonemogram,C
D46C,kEH_HG,130A8,U+130A8,D046A,D46C,D-28-009,A human hand with a forward downward line coming from the thumb.,"Logogram (scent, perfume, dew)",C
D47,kEH_HG,130A9,U+130A9,D047,D47,D-28-016,A human hand with the thumb upwards and the palm curved upwards.,Classifier hand,C
D48,kEH_HG,130AA,U+130AA,D048,D48,D-28-028,A human hand without a thumb.,Logogram (palm),C
D48A,kEH_JSesh,130AB,U+130AB,D048A,D48A,D-28-027,"A human hand, holding an oval.",Phono-repeater,C
D49,kEH_HG,130AC,U+130AC,D049,D49,D-29-001,"A human hand, held as a fist, with the thumb on top.",Classifier grasping/holding,C
D50,kEH_HG,130AD,U+130AD,D050,D50,D-30-001,A vertical human finger.,Logogram (finger),C
,,130AE,U+130AE,D050A,,D-30-008,,\20000,C
,,130AF,U+130AF,D050B,,D-30-009,,\30000,C
,,130B0,U+130B0,D050C,,D-30-010,,\40000,C
,,130B1,U+130B1,D050D,,D-30-011,,\50000,C
,,130B2,U+130B2,D050E,,D-30-012,,\60000,C
,,130B3,U+130B3,D050F,,D-30-013,,\70000,C
,,130B4,U+130B4,D050G,,D-30-014,,\80000,C
,,130B5,U+130B5,D050H,,D-30-015,,\90000,C
,,130B6,U+130B6,D050I,,D-30-016,,\50000,C
D51,kEH_HG,130B7,U+130B7,D051,D51,D-30-006,A horizontal human finger.,Classifier taking,C
D52,kEH_HG,130B8,U+130B8,D052,D52,D-31-001,A phallus with a scrotum.,Phonemogram,C
S125,kEH_JSesh,130B9,U+130B9,D052A,S125,S-15-047,"A phallus with a scrotum (D52), written over a folded piece of cloth (S29).",Phonemogram,L
D53,kEH_HG,130BA,U+130BA,D053,D53,D-31-007,"A phallus with a scrotum, with a line of liquid issuing from it.",Phonemogram,C
D54,kEH_HG,130BB,U+130BB,D054,D54,D-34-001,"Legs in a walking posture, feet orientated towards the reading direction.",Classifier movement,C
D54A,kEH_JSesh,130BC,U+130BC,D054A,D54A,D-34-013,"Legs in a walking posture, feet orientated towards the reading direction, with a hook added to the front leg.",Logogram (to come),C
D55,kEH_HG,130BD,U+130BD,D055,D55,D-34-002,"Legs in a walking posture, feet orientated away from the reading direction.",Classifier reverse movement,C
D56,kEH_HG,130BE,U+130BE,D056,D56,D-35-001,A leg with a bent knee.,Classifier leg/foot,C
D57,kEH_HG,130BF,U+130BF,D057,D57,D-35-005,"A leg with a bent knee (D56), with a knife with a rounded blade and rounded handle (T30) written over it.","Classifier damage, injury",C
D58,kEH_HG,130C0,U+130C0,D058,D58,D-35-012,A human foot and lower leg.,Phonemogram,C
D59,kEH_HG,130C1,U+130C1,D059,D59,D-35-031,"A forearm, with the palm of the hand facing upwards (D36) written over a human foot and lower leg (D58).",Phonemogram,L
D60,kEH_HG,130C2,U+130C2,D060,D60,D-35-017,"A human foot and lower leg (D58), with a vase on its side, with liquid issuing from it (W54) on top of it.","Logogram (to be pure, to be clean)",C
D61,kEH_HG,130C3,U+130C3,D061,D61,D-36-001,"A stylized row of three toes, with the ovals at the left side.",Phono-repeater,C
D62,kEH_HG,130C4,U+130C4,D062,D62,D-36-002,"A stylized row of three toes, with the ovals at the right side.",Phonemogram,C
D63,kEH_HG,130C5,U+130C5,D063,D63,D-36-007,"A stylized set of two toes, resembling a cloth wound on a pole, an emblem of divinity (R8), on top of a base with a loop at the far end.",Phonemogram,C
D271,kEH_HG,130C6,U+130C6,D064,D271,D-28-018,A human hand with the thumb downwards and the palm curved downwards.,Logogram (hand),C
D132,kEH_HG,130C7,U+130C7,D065,D132,D-04-015,"A sidelock, usually worn by a child.","Logogram (child, son, lad)",C
D66 D245,kEH_JSesh,130C8,U+130C8,D066,D66 D245,D-26-022,"An arm, bent at the elbow, forearm nearly horizontal, hand held like a fist, with a stylus angled over the tip of the fist.",Classifier to engrave,C
,,130C9,U+130C9,D067,,D-38-001,,,C
,,130CA,U+130CA,D067A,,D-38-002,,,C
,,130CB,U+130CB,D067B,,D-38-003,,,C
,,130CC,U+130CC,D067C,,D-38-004,,,C
,,130CD,U+130CD,D067D,,D-38-005,,,C
,,130CE,U+130CE,D067E,,D-38-006,,,C
,,130CF,U+130CF,D067F,,D-38-007,,,C
,,130D0,U+130D0,D067G,,D-38-008,,,C
,,130D1,U+130D1,D067H,,D-38-009,,,C
E1,kEH_JSesh,130D2,U+130D2,E001,E1,E-23-002,"A bovid (bull), standing, with outwards curving horns.",Logogram (bull),C
E2,kEH_HG,130D3,U+130D3,E002,E2,E-23-006,"A bovid (bull), standing, with its head lowered as if to attack.",Classifier rage/aggression,C
E3,kEH_HG,130D4,U+130D4,E003,E3,E-25-001,"A calf, standing.",Classifier calf,C
E4,kEH_JSesh,130D5,U+130D5,E004,E4,E-23-091,"A cult image of a bovid (cow), lying down, with a sun disk (N5) with two feathers between the horns, with a flagellum (S45) on its back, and a necklace around the neck.",Classifier cow divinity,C
E5,kEH_HG,130D6,U+130D6,E005,E5,E-23-066,"A bovid (cow), standing, head facing backwards over its body, with a calf below the cow, suckling.",Classifier concern,C
E6,kEH_JSesh,130D7,U+130D7,E006,E6,E-09-005,"A horse, about to rear, front legs nearly vertical.",Logogram (span (of horses)/horse),C
E7,kEH_HG,130D8,U+130D8,E007,E7,E-01-001,"A donkey/ass, standing.",Classifier donkey/ass,C
E8,kEH_HG,130D9,U+130D9,E008,E8,E-10-008,A immature goat (kid).,Logogram (kid),C
E8A,kEH_HG,130DA,U+130DA,E008A,E8A,E-10-009,"A immature goat (kid), rearing.",Phono-repeater,C
E9,kEH_HG,130DB,U+130DB,E009,E9,E-05-009,"A newborn bubalis antelope, lying down, legs folded beneath the body, long tail downwards.",Phonemogram,C
E100,kEH_HG,130DC,U+130DC,E009A,E100,E-23-062,"A bovid (cow), lying down, legs folded beneath the body.",Classifier cow (cow of the sky),C
E10,kEH_HG,130DD,U+130DD,E010,E10,E-04-001,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard.",Classifier ram,C
E11,kEH_HG,130DE,U+130DE,E011,E11,E-04-002,"A ram (Ovis longipes palaeo-aegyptiacus), standing, without a beard.",Phonemogram,C
E12,kEH_JSesh,130DF,U+130DF,E012,E12,E-19-002,A pig.,Classifier pig,C
E13,kEH_HG,130E0,U+130E0,E013,E13,E-08-002,"A cat, seated, tail curled over the body towards the back.",Phonemogram,C
E14,kEH_HG,130E1,U+130E1,E014,E14,E-06-003,"A hunting hound, standing, tail curling upwards.",Classifier dog/hound,C
E15,kEH_HG,130E2,U+130E2,E015,E15,E-07-001,"A jackal, lying down, tail downwards.",Logogram (Anubis),C
E16,kEH_HG,130E3,U+130E3,E016,E16,E-07-017,"A jackal, lying down, tail downwards, on top of a shrine.",Logogram (privy to the secrets),C
E16AEXTU,kEH_JSesh,130E4,U+130E4,E016A,E16AEXTU,E-07-020,"A jackal, lying down, tail downwards, with a flagellum (S45) on its back, on top of a shrine.",Classifier Anubis,C
E17,kEH_HG,130E5,U+130E5,E017,E17,E-06-004,"A jackal, standing, tail down.",Phonemogram,C
E141,kEH_HG,130E6,U+130E6,E017A,E141,E-06-015,"A jackal, standing, tail down, head looking backwards.",Phonemogram,C
E18,kEH_HG,130E7,U+130E7,E018,E18,E-06-018,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus at the front of the standard.",Logogram (Wepwawet),C
E19,kEH_JSesh,130E8,U+130E8,E019,E19,E-06-022,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus and šdšd-protuberance at the front of the standard, with a mace (T3) written horizontally over the vertical pole of the standard.",Classifier Wepwawet,C
E20,kEH_HG,130E9,U+130E9,E020,E20,E-02-003,"The animal of Seth, seated, tail up.",Logogram (Seth),C
E147,kEH_HG,130EA,U+130EA,E020A,E147,E-02-004,,,C
E21,kEH_HG,130EB,U+130EB,E021,E21,E-02-009,"The animal of Seth, lying down, tail up.",Logogram (Seth),C
E22,kEH_HG,130EC,U+130EC,E022,E22,E-17-001,"A lion, standing, tail downwards.",Classifier (lion),C
E23,kEH_HG,130ED,U+130ED,E023,E23,E-17-011,"A lion, lying down, tail curled over the body towards the back.",Phonemogram,C
E24,kEH_HG,130EE,U+130EE,E024,E24,E-18-001,"A panther or leopard, standing.",Classifier leopard,C
E25,kEH_HG,130EF,U+130EF,E025,E25,E-14-003,A hippopotamus (Hippopotamus amphibius).,Classifier hippopotamus,C
E26,kEH_HG,130F0,U+130F0,E026,E26,E-11-001,An elephant.,Classifier elephant,C
E27,kEH_HG,130F1,U+130F1,E027,E27,E-12-002,A giraffe.,Classifier to fortell,C
E28,kEH_HG,130F2,U+130F2,E028,E28,E-03-001,"An oryx, standing.",Classifier oryx,C
US1E28AEXTU,kEH_JSesh,130F3,U+130F3,E028A,US1E28AEXTU,E-03-005,"A basket with four pieces of grain or fruit (M39) in front of an oryx, standing (E28), on top of a parcel of land with irrigation ditches (N24).","Logogram (Oryx nome, 16th nome of Upper Egypt)",C
E29,kEH_HG,130F4,U+130F4,E029,E29,E-03-028,"A gazelle, standing, with one horn visible.",Classifier gazelle,C
E30,kEH_HG,130F5,U+130F5,E030,E30,E-10-013,A Nubian ibex (Capra nubiana).,Classifier ibex,C
E187,kEH_HG,130F6,U+130F6,E031,E187,E-10-007,"A goat, standing, with a seal, attached to a neck string (S20) around its neck.","Logogram (rank, diginity)",C
E32,kEH_HG,130F7,U+130F7,E032,E32,E-20-003,A hamadryas baboon (Papio hamadryas).,"Classifier rage, fury",C
E33,kEH_HG,130F8,U+130F8,E033,E33,E-20-004,A monkey.,Classifier monkey,C
E34,kEH_JSesh,130F9,U+130F9,E034,E34,E-16-006,"A desert hare, lying down, with whiskers.",Phonemogram,C
,,130FA,U+130FA,E034A,,E-16-005,,,L
US248E35VARA,kEH_JSesh,130FB,U+130FB,E036,US248E35VARA,E-20-007,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail upwards.",Logogram (Thot),C
E45,kEH_HG,130FC,U+130FC,E037,E45,E-20-033,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail upwards, in front of a sheath or receptacle with V shaped indentation at the top, bound at the top with a loop at the backside (V36G); on top of an alabaster basin with a diamond shaped inner marking (W3).",Logogram (symbol of the cycle of time),C
E92,kEH_HG,130FD,U+130FD,E038,E92,E-23-055,,,C
F1,kEH_JSesh,130FE,U+130FE,F001,F1,F-03-002,The head of a bovid (ox) with outwards curving horns.,"Classifier bull, ox, cattle",C
F63,kEH_HG,130FF,U+130FF,F001A,F63,F-03-014,"The head of a bovid (cow), without horns, with an ear.",Phonemogram,C
F2,kEH_HG,13100,U+13100,F002,F2,F-03-004,"The head of a bovid (bull), angled forward as if to attack.",Classifier rage/aggression,C
F3,kEH_HG,13101,U+13101,F003,F3,F-07-001,The head of a hippopotamus.,Phonemogram,C
F4,kEH_HG,13102,U+13102,F004,F4,F-08-006,"The forepart of a lion, lying down.","Logogram (beginning, front)",C
F5,kEH_HG,13103,U+13103,F005,F5,F-06-011,The head of a bubalis antelope.,Phonemogram,C
F6,kEH_HG,13104,U+13104,F006,F6,F-06-009,The forepart of a bubalis antelope.,Phonemogram,C
F7,kEH_HG,13105,U+13105,F007,F7,F-02-004,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard.","Classifier worth, dignity, renown",C
F8,kEH_HG,13106,U+13106,F008,F8,F-02-009,"The forepart of a ram (Ovis longipes palaeo-aegyptiacus), with beard.","Logogram (worth, dignity, renown)",C
F9,kEH_HG,13107,U+13107,F009,F9,F-08-001,The head of a leopard.,Logogram (strength),C
F10,kEH_HG,13108,U+13108,F010,F10,F-05-004,"The head and neck of a long-necked horned animal, with a forked end to the neck with a horizontal line over the forked end.",Classifier throat associated action,C
F11,kEH_HG,13109,U+13109,F011,F11,F-05-003,The head and neck of a long-necked horned animal.,Classifier throat associated action,C
F12,kEH_HG,1310A,U+1310A,F012,F12,F-05-001,The head and neck of a canine animal.,Phonemogram,C
F13,kEH_HG,1310B,U+1310B,F013,F13,F-11-001,The horns of a bovid (ox).,Phonemogram,C
,,1310C,U+1310C,F013A,,F-11-003,,,L
F14,kEH_HG,1310D,U+1310D,F014,F14,F-11-006,"A palm branch, stripped of leaves and notched with a round notch (M4), written within the horns of a bovid (F13).",Logogram (New Year's Day),C
F15,kEH_HG,1310E,U+1310E,F015,F15,F-11-010,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a sun disk (N5), written within the horns of a bovid (F13). ",Logogram (New Year's Day),C
F16,kEH_HG,1310F,U+1310F,F016,F16,F-13-001,A horn of a bovid,Logogram (horn),C
F17,kEH_HG,13110,U+13110,F017,F17,F-13-009,"A vase on its side, with liquid issuing from it (W54), written over the horn of a bovid (F16).",Logogram purification,C
F18,kEH_HG,13111,U+13111,F018,F18,F-14-001,A tusk of an elephant.,Phonemogram,C
F19,kEH_HG,13112,U+13112,F019,F19,F-15-004,The lower jawbone of a bovid (ox).,Classifier jaw,C
F20,kEH_HG,13113,U+13113,F020,F20,F-16-001,A tongue.,Logogram (tongue),C
F21,kEH_HG,13114,U+13114,F021,F21,F-17-005,"The ear of a bovid (ox), without internal detail.",Logogram (ear),C
Ff4,kEH_JSesh,13115,U+13115,F021A,Ff4,F-17-007,"The ear of a bovid (ox), without internal detail, with two strokes on the base.","Logogram to hear, to listen",C
F22,kEH_HG,13116,U+13116,F022,F22,F-18-001,The hindquarters of a seated lion or leopard.,Phonemogram,C
F23,kEH_HG,13117,U+13117,F023,F23,F-19-010,"A foreleg of a bovid (ox), hoof orientated towards the reading direction.",Classifier foreleg/arm,C
F24,kEH_HG,13118,U+13118,F024,F24,F-19-009,"A foreleg of a bovid (ox), hoof orientated away from the reading direction.",Classifier foreleg/arm,L
F25,kEH_HG,13119,U+13119,F025,F25,F-19-006,The leg and hoof of a bovid (ox).,Phonemogram,C
F26,kEH_HG,1311A,U+1311A,F026,F26,F-20-001,The skin of a goat.,Phonemogram,C
F27,kEH_HG,1311B,U+1311B,F027,F27,F-20-005,"The skin of a cow, with the tail curved backwards.",Classifier animal,C
F28,kEH_HG,1311C,U+1311C,F028,F28,F-20-015,"The skin of a cow, with the tail hanging straight down.","Logogram (dappled, many-coloured)",C
F29,kEH_HG,1311D,U+1311D,F029,F29,F-20-016,"The skin of a cow, with the tail hanging straight down, pierced by an arrow with rounded fletching (T11).",Phonemogram,C
F30,kEH_HG,1311E,U+1311E,F030,F30,F-20-031,A water skin.,Phonemogram,C
F31,kEH_HG,1311F,U+1311F,F031,F31,F-20-037,"Three skins of foxes, tied together at the top.",Phonemogram,C
US22F31AEXTU,kEH_JSesh,13120,U+13120,F031A,US22F31AEXTU,F-20-035,"A simplified representation of three skins of foxes, tied together at the top.",Phonemogram,C
F32,kEH_HG,13121,U+13121,F032,F32,F-21-006,"The udder and tail of an animal, seen from below.","Logogram (belly, body)",C
F33,kEH_HG,13122,U+13122,F033,F33,F-22-004,The tail of an animal.,Phonemogram,C
F34,kEH_JSesh,13123,U+13123,F034,F34,F-23-001,A heart without internal detail.,"Logogram (heart, mind, wish)",C
F35,kEH_HG,13124,U+13124,F035,F35,F-24-004,"A windpipe and heart, with a single horizontal stroke at the top.",Phonemogram,C
F36,kEH_HG,13125,U+13125,F036,F36,F-24-008,A windpipe and lungs.,Phonemogram,C
F37,kEH_HG,13126,U+13126,F037,F37,F-25-030,"A spine with four ribs, with a downward curving loop at the end of the spine.","Classifier spine, vertebrae",C
F37B,kEH_HG,13127,U+13127,F037A,F37B,F-25-016,"A spine with four ribs, written at an angle.",Logogram (to cut),C
F38,kEH_JSesh,13128,U+13128,F038,F38,F-25-005,"A piece of spine with three vertebrae, angling forwards.","Classifier back, backbone",C
F38C,kEH_JSesh,13129,U+13129,F038A,F38C,F-25-038,,,C
F39,kEH_HG,1312A,U+1312A,F039,F39,F-25-033,"A spine, with the spinal cord hanging out at the backside, with two blocks at the bottom.",Phonemogram,C
F40,kEH_HG,1312B,U+1312B,F040,F40,F-25-045,"A spine, with the spinal cord hanging out at either side.","Logogram (to be long, to stretch out)",C
F41,kEH_HG,1312C,U+1312C,F041,F41,F-26-001,"A section of vertebrae, written vertically, with a small dot on top.",Classifier slaughter/evil,C
F42,kEH_HG,1312D,U+1312D,F042,F42,F-26-006,A rib.,Classifier rib,C
F43,kEH_HG,1312E,U+1312E,F043,F43,F-26-010,Ribs of beef.,Classifier ribs (meat of ribs),C
F44,kEH_HG,1312F,U+1312F,F044,F44,F-27-001,A leg-bone with meat.,Phono-repeater,C
F45,kEH_HG,13130,U+13130,F045,F45,D-32-011,The uterus of a cow.,"Logogram (uterus, womb)",C
AA56,kEH_HG,13131,U+13131,F045A,Aa56,AA-21-002,An object resembling a long vertical line with two pointed lines on top.,Phonemogram,C
F46,kEH_HG,13132,U+13132,F046,F46,F-28-004,"An intestine, with the opening to the bottom right.","Logogram (to go round, to turn round)",C
F46A,kEH_HG,13133,U+13133,F046A,F46A,F-28-001,"An intestine, with the opening to the top left.","Logogram (to go round, to turn round)",L
F47,kEH_HG,13134,U+13134,F047,F47,F-28-003,"An intestine, with the opening to the bottom left.","Classifier winding, intestine",L
F47A,kEH_HG,13135,U+13135,F047A,F47A,F-28-005,"An intestine, with the opening to the top right.","Logogram (to go round, to turn round)",L
F48,kEH_HG,13136,U+13136,F048,F48,F-28-006,"An intestine, with the openings top left and bottom right.","Logogram (to go round, to turn round)",C
F49,kEH_HG,13137,U+13137,F049,F49,F-28-007,"An intestine, with the openings top right and bottom left.",Phono-repeater,L
F50,kEH_HG,13138,U+13138,F050,F50,F-28-013,"A folded piece of cloth (S29), written over an intestine, with the opening to the bottom right (F46).",Phonemogram,L
F51,kEH_HG,13139,U+13139,F051,F51,F-29-003,"A piece of flesh, point towards the back, curving downwards.",Phonemogram,C
,,1313A,U+1313A,F051A,,F-29-009,"Three pieces of flesh, point towards the back, curving downwards, arranged horizontally.",Classifier part of a body,L
,,1313B,U+1313B,F051B,,F-29-010,"Three pieces of flesh, point towards the back, curving downwards, arranged vertically.","Logogram (limbs, body)",L
F51A,kEH_HG,1313C,U+1313C,F051C,F51A,F-29-011,,,L
F52,kEH_HG,1313D,U+1313D,F052,F52,F-30-001,A pile of excrement.,Classifier excrement,C
F59,kEH_HG,1313E,U+1313E,F053,F59,F-02-021,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard, on top of a staff with a forked end.",Phonemogram,C
G1,kEH_HG,1313F,U+1313F,G001,G1,G-26-001,An Egyptian vulture (Neophron percnopterus).,Phonemogram,C
G2,kEH_HG,13140,U+13140,G002,G2,G-26-004,"Two Egyptian vultures (Neophron percnopterus), overlapping each other.",Phonemogram,C
G3,kEH_HG,13141,U+13141,G003,G3,G-26-022,"An Egyptian vulture (Neophron percnopterus) (G1), written over a sickle (U1), with the handle towards the back.",Phonemogram,L
G4,kEH_HG,13142,U+13142,G004,G4,G-02-003,A long-legged buzzard (Buteo rufinus).,Phonemogram,C
G5,kEH_HG,13143,U+13143,G005,G5,G-12-002,A falcon.,Logogram (Horus),C
G6,kEH_HG,13144,U+13144,G006,G6,G-12-005,A falcon (G5) with a flagellum (S45) on its back.,Classifier falcon,C
G139,kEH_HG,13145,U+13145,G006A,G139,G-12-144,A falcon (G5) on top of a wickerwork basket (V30).,Logogram (lord),C
G7,kEH_HG,13146,U+13146,G007,G7,G-12-047,"A falcon (G5), on top of a standard used for carrying religious symbols (R12).",Classifier divine beings/divine things,C
G7A,kEH_HG,13147,U+13147,G007A,G7A,G-12-132,"A falcon (G5), on top of a moon sickle shaped boat.",Logogram (Nemty (divinity)),C
G7B,kEH_HG,13148,U+13148,G007B,G7B,G-12-133,"A falcon (G5), on top of a moon sickle shaped boat, which rests upon a pedestal (P15).",Logogram nmty (Nemty (divinity)),C
G8,kEH_HG,13149,U+13149,G008,G8,G-12-148,"A falcon (G5), on top of a collar of beads (S12).",Logogram (golden Horus),C
G9,kEH_HG,1314A,U+1314A,G009,G9,G-12-015,A falcon (G5) with a sun disk (N5) on its head.,Logogram (Re-Hor (usually in rꜥ-ḥr-ꜣḫ.ty),C
G10,kEH_HG,1314B,U+1314B,G010,G10,G-12-151,"A falcon (G5), on top of a moon-sickle shaped boat with a higher prow than stern, with a rudder, with the head of an antelope (F81) on top of the prow, facing inwards, with a downward line with multiple horizontal lines written over it coming from the head, on top of a sledge (P60B).",Classifier bark of Sokar,C
G11,kEH_HG,1314C,U+1314C,G011,G11,G-15-001,An archaic image of a falcon/cult image of a falcon.,Classifier cult image,C
G11A,kEH_JSesh,1314D,U+1314D,G011A,G11A,G-15-002,,,C
G12,kEH_HG,1314E,U+1314E,G012,G12,G-15-003,"An archaic image of a falcon/cult image of a falcon, with a flagellum (S45) on its back.",Classifier cult image,C
G13,kEH_HG,1314F,U+1314F,G013,G13,G-15-012,"An archaic image of a falcon/cult image of a falcon, wearing a headdress consisting of two plumes (S9).",Classifier falcon divinity,C
G14,kEH_HG,13150,U+13150,G014,G14,G-24-001,A griffon vulture (Gyps fulvus).,Logogram (mother),C
G15,kEH_HG,13151,U+13151,G015,G15,G-24-018,"A griffon vulture (Gyps fulvus), with a flagellum (S45) on its back.",Logogram (mother),C
G16,kEH_HG,13152,U+13152,G016,G16,G-24-029,"A griffon vulture (Gyps fulvus), on top of a wickerwork basket (V30), in front of a cobra (Naja haje), standing up, with expanded hood (uraeus), with a coiled tail (I12), upon a wickerwork basket (V30).",Logogram (the two ladies (i.e. Nekhbet and Wadjet),L
G17,kEH_HG,13153,U+13153,G017,G17,G-09-001,An owl.,Phonemogram,C
G18,kEH_HG,13154,U+13154,G018,G18,G-09-006,"Two owls, overlapping each other.",Phonemogram,C
G19,kEH_HG,13155,U+13155,G019,G19,G-09-023,,,L
G20,kEH_HG,13156,U+13156,G020,G20,G-09-008,"A forearm, with the palm of the hand facing upwards (D36), written over an owl (G17).",Phonemogram,L
G90,kEH_HG,13157,U+13157,G020A,G90,G-09-013,"A mouth (D21), written over an owl (G17).",Phonemogram,L
G21,kEH_HG,13158,U+13158,G021,G21,G-22-002,"A saharan helmeted guinea fowl (Numida m. meleagris), with a lappet.",Phonemogram,C
,,13159,U+13159,G022,,G-17-001,A hoopoe (Upupa epops).,Phonemogram,C
G23,kEH_HG,1315A,U+1315A,G023,G23,G-23-001,A lapwing (Vanellus cristatus).,"Logogram (common folk, subjects, people)",C
G24,kEH_HG,1315B,U+1315B,G024,G24,G-23-005,"A lapwing (Vanellus cristatus), legs drawn towards the body, wings extended above the body.","Logogram (common folk, subjects, people)",C
G25,kEH_HG,1315C,U+1315C,G025,G25,G-11-081,A crested ibis (Ibis comata).,Phonemogram,C
G26,kEH_HG,1315D,U+1315D,G026,G26,G-11-089,"An African sacred ibis (Threskiornis aethiopicus) (G26A), on top of a standard used for carrying religious symbols (R12).",Logogram (Thot),C
G26A,kEH_HG,1315E,U+1315E,G026A,G26A,G-11-085,An African sacred ibis (Threskiornis aethiopicus).,Classifier ibis,C
G27,kEH_HG,1315F,U+1315F,G027,G27,G-11-001,A greater flamingo (Phoenicopterus roseus).,Logogram (to be red),C
G28,kEH_HG,13160,U+13160,G028,G28,G-11-008,A black ibis (Plegadis falcinellus).,Phonemogram,C
G29,kEH_HG,13161,U+13161,G029,G29,G-11-011,"A saddle-billed stork (Ephippiorhynchus senegalensis), with lappet.",Phonemogram,C
G30,kEH_HG,13162,U+13162,G030,G30,G-11-018,"Three saddle-billed storks (Ephippiorhynchus senegalensis), overlapping each other, the first bird having a lappet.",Logogram (souls),C
G31,kEH_HG,13163,U+13163,G031,G31,G-11-050,A gray heron (Ardea cinerea).,Classifier heron,C
G32,kEH_HG,13164,U+13164,G032,G32,G-11-061,"A gray heron (Ardea cinerea), legs drawn towards the body, seated on a pole, held upright through ropes (R91).",Logogram (to inundate),C
G33,kEH_HG,13165,U+13165,G033,G33,G-11-028,A cattle egret (Bubulcus ibis).,Phonemogram,C
G34,kEH_HG,13166,U+13166,G034,G34,G-01-001,"An ostrich (Struthio camelus), with both wings upwards.",Classifier ostrich,C
G35,kEH_HG,13167,U+13167,G035,G35,G-10-001,A great cormorant (Phalacrocorax carbo).,Phonemogram,C
G36,kEH_HG,13168,U+13168,G036,G36,G-16-002,A swallow (Hirundo rustica savignii).,Phonemogram,C
,,13169,U+13169,G036A,,G-16-003,,,L
G37,kEH_HG,1316A,U+1316A,G037,G37,G-16-013,A house sparrow (Passer domesticus niloticus).,"Classifier negative, bad",C
,,1316B,U+1316B,G037A,,G-16-014,,,L
G38,kEH_HG,1316C,U+1316C,G038,G38,G-08-001,A greater white-fronted goose (Anser albifrons).,Phonemogram,C
G39,kEH_HG,1316D,U+1316D,G039,G39,G-04-001,A pintail duck (Anas acuta).,Logogram (son),C
G40,kEH_HG,1316E,U+1316E,G040,G40,G-05-001,"A greater white-fronted goose (Anser albifrons), flying, with a wing at either side of its body.",Phonemogram,C
G41,kEH_HG,1316F,U+1316F,G041,G41,G-05-010,"A greater white-fronted goose (Anser albifrons), alighting or flying up, with both wings behind the body.",Phonemogram,C
G42,kEH_HG,13170,U+13170,G042,G42,G-07-003,A widgeon (Mareca penelope).,Phonemogram,C
G43,kEH_HG,13171,U+13171,G043,G43,G-03-001,A quail chick (Coturnix coturnix).,Phonemogram,C
,,13172,U+13172,G043A,,G-03-018,"A half round loaf of bread (X1), written in front of a quail chick (G43).",Phonemogram,L
G44,kEH_HG,13173,U+13173,G044,G44,G-03-003,"Two quail chicks (Coturnix coturnix), overlapping each other.",Phonemogram,C
G45,kEH_HG,13174,U+13174,G045,G45,G-03-005,"A forearm, with the palm of the hand facing upwards (D36), written over a quail chick (G43).",Phonemogram,L
G247,kEH_HG,13175,U+13175,G045A,G247,G-03-007,"A forearm with the hand holding a conical loaf of bread (D37), written over a quail chick (G43).",Phonemogram,L
G46,kEH_HG,13176,U+13176,G046,G46,G-03-025,"A quail chick (G43), written over a sickle (U1).",Phonemogram,L
G47,kEH_HG,13177,U+13177,G047,G47,G-20-006,"A duckling, with open beak, outstretched wings on either side of the body, and the legs drawn towards the body.",Phonemogram,C
G48,kEH_HG,13178,U+13178,G048,G48,G-20-023,"Three ducklings, with open beaks, outstretched wings on either side of the body, and the legs drawn towards the body (G47), inside a nest.",Classifier nest,C
,,13179,U+13179,G049,,G-20-030,,,C
G50,kEH_HG,1317A,U+1317A,G050,G50,G-04-011,"Two plovers, overlapping each other.",Phonemogram,C
G51,kEH_HG,1317B,U+1317B,G051,G51,G-11-043,"A cattle egret (Bubulcus ibis), pecking and standing upon a fish with a long broad fin on its back, and two small fins on its belly.",Classifier catching fish,C
G52,kEH_HG,1317C,U+1317C,G052,G52,G-08-020,"A goose, standing, with its head downwards, as if it is picking up food","Classifier feeding, eating",C
G53,kEH_HG,1317D,U+1317D,G053,G53,G-18-004,"A bowl for incense with smoke rising from the bowl (R7), written in front of the legs of a human headed bird (G53A).",Logogram (soul),C
G54,kEH_HG,1317E,U+1317E,G054,G54,G-08-016,"A trussed and plucked goose or duck, with the head backwards below its body.",Phonemogram,C
H1,kEH_HG,1317F,U+1317F,H001,H1,H-03-001,The head of a pintail duck (Anas acuta).,"Logogram (bird, fowl)",C
H2,kEH_HG,13180,U+13180,H002,H2,H-04-005,The head of a gray heron (Ardea cinerea).,Phono-repeater,C
